qy,balance,umcsent,sales,permit,rate,value,cpi,money,dspic96,bondprice,eps,revenue,eps_growth,revenue_growth,avg_fuel_price_per_gallon,available_seat_miles(asm),fuel_consumed,total_aircraft_in_service,operating_expense_per_asm,passenger_load_factor,passenger_rev_per_asm,passanger_rev,passenger_rev_per_rpm,revenue_passenger_miles(rpm),fuel_expense,total_revenue_per_asm,target,target_plus1
2016Q2,-103316,92.39999999999999,401317.6666666667,1178.6666666666667,4.9,4.9,239.48600000000002,12745.530769230767,13554.366666666669,1.7442207792207787,1.969853186847566,8843.152382252722,0.7398479368754054,0.13120045686253032,174.629916421484,57602853.54271408,898988.6515455539,914.3760220604082,12.007662544548488,84.84935416032378,12.971773012488296,7599.98289008146,15.287259180369611,48870836.392125644,1262.1494701725392,15.122300025444714,39.87562049835403,45.629823301733325
2016Q3,-106792,90.33333333333333,405144.6666666667,1225.6666666666667,4.8999999999999995,3.4,240.601,12951.499999999998,13615.066666666668,1.5629753086419755,2.156246198079421,8979.682417032936,0.12177487006105457,0.026111388694604123,151.0265654696899,60131975.88928391,943313.3812937038,929.2125805179206,11.99635569370255,85.46078926504062,12.783991623841205,7773.081230578053,14.957381387943345,51380351.775157444,1424.5262152154742,14.812977578924743,45.629823301733325,59.6070353275879
2016Q4,-105806,93.06666666666666,408985.3333333333,1261.3333333333333,4.766666666666667,5.0,242.16400000000002,13156.06923076923,13696.733333333332,2.1297236842105263,0.9893222678836261,8101.587505382388,-0.5366545262537561,-0.0832685236082127,161.42365045837073,52657001.925204255,824893.8381078324,947.3685773106407,13.399453833413451,84.12684777759281,12.845127521562016,6873.065376028025,15.260166082255335,44267377.43332563,1319.0893507786516,15.154135943536973,59.6070353275879,57.49641492407349
2017Q1,-104295,97.23333333333335,415191.0,1284.6666666666667,4.6000000000000005,3.8,243.83,13332.853846153848,13860.966666666667,2.4449736842105265,0.6178190319941608,7628.619578624648,-0.3196627345915356,-0.017672829251107643,173.20616786274257,51133170.929324135,790791.2685677886,944.5856586704426,13.337100902714294,81.53736798125058,12.756427788704695,6643.601718182602,15.646115283693153,41688456.61981119,1313.8166563231466,14.610000124382347,57.49641492407349,63.24114500663285
2017Q2,-122874,96.36666666666667,416439.6666666667,1254.3333333333333,4.366666666666667,3.1,244.06500000000003,13508.046153846151,13953.4,2.257144736842105,2.0618255263551704,9218.204886547488,3.2266419805217392,0.18710685107439393,165.95399213362288,59030465.28748609,912619.2049661239,957.705413459555,12.629757523241725,85.81353129561182,13.598390994743903,8113.599965579062,15.845842569518242,50591990.570108935,1480.0085640211528,15.40567079184027,63.24114500663285,54.57222416607338
2017Q3,-99708,95.09999999999998,421180.6666666667,1277.0,4.3,6.2,245.36833333333334,13657.753846153846,14034.566666666666,2.241205128205128,1.841065359801394,9377.505664632292,-0.07796482415043555,0.013641610241238097,170.0882116534825,62047836.108990215,960280.1496148695,963.7259337007862,12.542219721210051,85.93850554712333,13.071098393800499,8186.442556262893,15.202064334351569,53383655.45474666,1579.6803884616297,14.872051501132571,54.57222416607338,60.885642555348696
2017Q4,-112769,98.36666666666667,431362.3333333333,1326.0,4.133333333333334,6.6,247.2733333333333,13807.930769230767,14162.433333333334,2.3708571428571426,1.1513093212458505,8915.75242744105,-0.42209314658572566,-0.06721939958352875,192.42072606499028,55704979.44128291,866150.6197159878,983.9841102016303,14.076893447733738,83.95009400646119,13.502482863435848,7646.150917118117,16.076851039998196,46774918.22148378,1638.6633265033595,15.690853724841542,60.885642555348696,59.34448204855929
2018Q1,-114001,98.93333333333334,434541.0,1376.3333333333333,4.066666666666666,5.2,249.25033333333332,13893.261538461538,14400.299999999997,2.7571733333333337,0.6184942203821628,8748.162887863336,0.17974953385323875,-0.034681230001249334,204.68227766769073,55126614.04766367,849417.4321323979,1018.0584037630769,14.557827748511375,81.8292234776732,13.819902637567665,7762.82572635957,16.874297474600088,45186819.27927829,1721.3881910292066,15.542785335793491,59.34448204855929,55.83340672104653
2018Q2,-107311,98.33333333333333,439856.3333333333,1334.3333333333333,3.9,6.6,250.57866666666666,14031.715384615385,14495.933333333334,2.921415584415584,1.8095497031442194,10297.714520299325,7.884113613505772,0.18449098951334914,221.32054250767453,62949240.30328367,961219.4375818417,1031.6613757742318,13.947874021855005,86.01829061026983,14.516749219842945,9302.79773454448,16.871862060019133,54140778.29846799,2129.521805542851,16.04737921557947,55.83340672104653,66.91139719846633
2018Q3,-125739,98.06666666666668,442571.6666666667,1290.3333333333333,3.7999999999999994,4.8,251.82866666666666,14180.884615384615,14613.266666666668,2.921538461538461,2.277222950875992,10498.318652212904,0.24950489643820048,0.0183382107961464,226.30575218756272,66611558.98721888,1019343.6516387002,1036.980114633749,13.533500863956439,86.3660890734678,14.128429746877671,9548.141948912693,16.35341359407538,57629151.56730092,2290.861787885344,15.518212833977481,66.91139719846633,59.67224889997799
2018Q4,-143927,98.13333333333333,444835.3333333333,1318.0,3.8000000000000003,2.5,252.759,14290.8,14715.166666666666,3.0349870129870133,1.4131382920345337,9644.554970340092,-0.37885252561917215,-0.07794637278081636,239.84962477739805,59379812.52346991,907943.3075680776,1051.6955707096931,14.693953887238399,84.09526709075017,14.463491574895746,8715.683831898814,17.191704325425093,49927817.506353036,2137.9068720428686,15.986103479898084,59.67224889997799,59.183761515252975
2019Q1,-136194,94.46666666666665,446027.3333333333,1297.0,3.8666666666666667,4.0,253.31133333333332,14462.216666666669,14878.1,2.6503466666666657,0.9738519177432838,9233.178939217094,-0.3617008916423844,-0.05282119548690289,205.657441975038,58361932.450126156,886129.4911262434,1065.2195100717263,14.355576786589928,81.83173833548742,13.900148191906188,8250.147232799949,16.970865238517547,47822897.46153857,1822.4163556775632,15.537490716326273,59.183761515252975,65.38247504021898
