gvkey,indfmt,consol,popsrc,fyr,datafmt,ogaspnglq,ogaspnglq_dc,ogaspngq,ogaspngq_dc,ogaspoilq,ogaspoilq_dc,ogpngdq,ogpngdq_dc,ogpngldq,ogpngldq_dc,ogpnglq,ogpnglq_dc,ogpngq,ogpngq_dc,ogpoildq,ogpoildq_dc,ogpoilq,ogpoilq_dc,ogxdhq,ogxdhq_dc,ogxpxq,ogxpxq_dc,orcaptq,orcaptq_dc,orcapuq,orcapuq_dc,orfmq,orfmq_dc,orfsitesq,orfsitesq_dc,orfvolq,orfvolq_dc,ormmq,ormmq_dc,ormsaleq,ormsaleq_dc,orpsdq,orpsdq_dc,orpsgq,orpsgq_dc,orpsoq,orpsoq_dc,orpspq,orpspq_dc,orpstq,orpstq_dc,orpydq,orpydq_dc,orpygq,orpygq_dc,orpyoq,orpyoq_dc,orpypq,orpypq_dc,orpytq,orpytq_dc,orttq,orttq_dc,datadate,tic
004503,INDL,C,D,12,STD,,,,,,,9762000.0000,,,4,,3,,3,2330.0000,,,3,,3,445.0000,,,,,,,,,,,,,,,,2505.0000,,2266.0000,,729.0000,,0.0000,,5500.0000,,,,,,,,,,,,4152.0000,,20160630,XOM
004503,INDL,C,D,12,STD,,,,,,,9601000.0000,,,4,,3,,3,2211.0000,,,3,,3,327.0000,,,,,,,,,,,,,,,,2589.0000,,2298.0000,,698.0000,,0.0000,,5585.0000,,,,,,,,,,,,4365.0000,,20160930,XOM
004503,INDL,C,D,12,STD,,,,,,,10424000.0000,,,4,,,,,2384.0000,,,,,,340.0000,,,,,,,,,,,,,,,,2581.0000,,2304.0000,,621.0000,,0.0000,,5506.0000,,,,,,,,,,,,4371.0000,,20161231,XOM
004503,INDL,C,D,12,STD,,,,,,,10908000.0000,,,4,,3,,3,2333.0000,,,3,,3,289.0000,,,,,,,,,,,,,,,,2583.0000,,2163.0000,,649.0000,,0.0000,,5395.0000,,,,,,,,,,,,4324.0000,,20170331,XOM
004503,INDL,C,D,12,STD,,,,,,,9920000.0000,,,4,,3,,3,2269.0000,,,3,,3,514.0000,,,,,,,,,,,,,,,,2600.0000,,2265.0000,,693.0000,,0.0000,,5558.0000,,,,,,,,,,,,4345.0000,,20170630,XOM
004503,INDL,C,D,12,STD,,,,,,,9585000.0000,,,4,,3,,3,2280.0000,,,3,,3,284.0000,,,,,,,,,,,,,,,,2588.0000,,2266.0000,,688.0000,,0.0000,,5542.0000,,,,,,,,,,,,4287.0000,,20170930,XOM
004503,INDL,C,D,12,STD,,,,,,,10441000.0000,,,4,,,,,2251.0000,,,,,,703.0000,,,,,,,,,,,,,,,,2641.0000,,2353.0000,,630.0000,,0.0000,,5624.0000,,,,,,,,,,,,4207.0000,,20171231,XOM
004503,INDL,C,D,12,STD,,,,,,,10038000.0000,,,4,,3,,3,2216.0000,,,3,,3,287.0000,,,,,,,,,,,,,,,,2570.0000,,2215.0000,,647.0000,,0.0000,,5432.0000,,,,,,,,,,,,4293.0000,,20180331,XOM
004503,INDL,C,D,12,STD,,,,,,,8613000.0000,,,4,,3,,3,2212.0000,,,3,,3,332.0000,,,,,,,,,,,,,,,,2618.0000,,2216.0000,,668.0000,,0.0000,,5502.0000,,,,,,,,,,,,4105.0000,,20180630,XOM
004503,INDL,C,D,12,STD,,,,,,,9001000.0000,,,4,,3,,3,2286.0000,,,3,,3,292.0000,,,,,,,,,,,,,,,,2678.0000,,2255.0000,,683.0000,,0.0000,,5616.0000,,,,,,,,,,,,4392.0000,,20180930,XOM
004503,INDL,C,D,12,STD,,,,,,,9974000.0000,,,4,,,,,2348.0000,,,,,,555.0000,,,,,,,,,,,,,,,,2678.0000,,2183.0000,,634.0000,,0.0000,,5495.0000,,,,,,,,,,,,4298.0000,,20181231,XOM
004503,INDL,C,D,12,STD,,,,,,,9924000.0000,,,4,,3,,3,2327.0000,,,3,,3,280.0000,,,,,,,,,,,,,,,,2599.0000,,2149.0000,,667.0000,,0.0000,,5415.0000,,,,,,,,,,,,3886.0000,,20190331,XOM
004503,INDL,C,D,12,STD,,,,,,,9120000.0000,,,4,,3,,3,2389.0000,,,3,,3,333.0000,,,,,,,,,,,,,,,,2519.0000,,2198.0000,,691.0000,,0.0000,,5408.0000,,,,,,,,,,,,3930.0000,,20190630,XOM
004503,INDL,C,D,12,STD,,,,,,,9045000.0000,,,4,,3,,3,2392.0000,,,3,,3,299.0000,,,,,,,,,,,,,,,,2539.0000,,2255.0000,,710.0000,,0.0000,,5504.0000,,,,,,,,,,,,4052.0000,,20190930,XOM
008549,INDL,C,D,12,STD,44.3700,,4.7700,,72.0500,,4908000.0000,,157.0000,,,4,2053000000.0000,,1284.0000,,497000.0000,,51.0000,,328.0000,,2657.0000,,76.0000,,,,9725.0000,,,,,,,,1166.0000,,1250.0000,,503.0000,,0.0000,,2919.0000,,851.0000,,940.0000,,414.0000,,0.0000,,2205.0000,,2028.0000,,20091231,COP
008549,INDL,C,D,12,STD,,4,5.4500,,,,5038000.0000,,,4,,3,,3,1431.0000,,,3,93.0000,,383.0000,,2657.0000,,78.0000,,,,,,,,,,,,1089.0000,,1249.0000,,471.0000,,0.0000,,2809.0000,,834.0000,,986.0000,,418.0000,,0.0000,,2238.0000,,2066.0000,,20100331,COP
008549,INDL,C,D,12,STD,,4,4.5000,,,,4909000.0000,,,4,,3,,3,1358.0000,,,3,28.0000,,213.0000,,2657.0000,,86.0000,,,,,,,,,,,,1201.0000,,1319.0000,,524.0000,,0.0000,,3044.0000,,969.0000,,1038.0000,,457.0000,,0.0000,,2464.0000,,2275.0000,,20100630,COP
008549,INDL,C,D,12,STD,,4,4.5300,,,,4903000.0000,,,4,,3,,3,1322.0000,,,3,26.0000,,252.0000,,2657.0000,,84.0000,,,,,,,,,,,,1199.0000,,1280.0000,,627.0000,,0.0000,,3106.0000,,935.0000,,996.0000,,468.0000,,0.0000,,2399.0000,,2232.0000,,20100930,COP
008549,INDL,C,D,12,STD,,4,4.9500,,,,4591000.0000,,,4,,4,1950000000.0000,,964.0000,,425000.0000,,89.0000,,307.0000,,2657.0000,,77.0000,,,,9750.0000,,,,,,,,1263.0000,,1321.0000,,613.0000,,0.0000,,3197.0000,,882.0000,,927.0000,,452.0000,,0.0000,,2261.0000,,2049.0000,,20101231,COP
008549,INDL,C,D,12,STD,,4,5.2200,,,,4669000.0000,,,4,,3,,3,924.0000,,,3,9.0000,,176.0000,,2412.0000,,89.0000,,,,,,,,,,,,1203.0000,,1270.0000,,587.0000,,0.0000,,3060.0000,,903.0000,,986.0000,,442.0000,,0.0000,,2331.0000,,2145.0000,,20110331,COP
008549,INDL,C,D,12,STD,56.8800,,5.5000,,,,4552000.0000,,,4,,3,,3,881.0000,,,3,48.0000,,264.0000,,2412.0000,,91.0000,,,,,,,,,,,,1177.0000,,1409.0000,,568.0000,,0.0000,,3154.0000,,932.0000,,1013.0000,,463.0000,,0.0000,,2408.0000,,2196.0000,,20110630,COP
008549,INDL,C,D,12,STD,55.6100,,5.4500,,,,4397000.0000,,,4,,3,,3,805.0000,,,3,111.0000,,266.0000,,2412.0000,,92.0000,,,,,,,,,,,,1250.0000,,1300.0000,,639.0000,,0.0000,,3189.0000,,950.0000,,1003.0000,,445.0000,,0.0000,,2398.0000,,2223.0000,,20110930,COP
008549,INDL,C,D,12,STD,,4,5.1900,,,,4447000.0000,,,4,,4,1818000000.0000,,856.0000,,290000.0000,,141.0000,,332.0000,,2365.0000,,94.0000,,,,9680.0000,,,,,,,,1245.0000,,1256.0000,,607.0000,,0.0000,,3108.0000,,928.0000,,924.0000,,416.0000,,0.0000,,2268.0000,,2101.0000,,20111231,COP
008549,INDL,C,D,12,STD,,4,4.8000,,,,4422000.0000,,,4,,3,,3,900.0000,,,3,6.0000,,679.0000,,2231.0000,,91.0000,,,,,,,,,,,,1135.0000,,1131.0000,,452.0000,,0.0000,,2718.0000,,895.0000,,897.0000,,416.0000,,0.0000,,2208.0000,,2027.0000,,20120331,COP
